frame,time_s,active_notes,events,audio_active,rms_dbfs,rms_threshold,rms_growth,spectral_flux,onset_detector_score,top_frame,top_onset,inference_ms,pipeline_ms,queue_depth
1783,11.447437641723356,67,,1,-43.3583042169589,0.003237655062603202,0.0,0.02413730603580033,4.5,67:0.92592 66:0.79361 64:0.30835 50:0.23693 45:0.22153 65:0.16930,66:0.48912 64:0.31281 67:0.26253 65:0.22936 69:0.08917 76:0.06734,2.4237999999989768,7.6512000000015234,2
1784,11.453242630385487,67,,1,-43.31024787079862,0.003237655062603202,3.7689744384118186e-05,0.011739989393781933,4.5,67:0.92605 66:0.78790 64:0.30993 50:0.26528 45:0.23435 65:0.17951,66:0.50285 64:0.30951 67:0.27366 65:0.22948 69:0.10834 76:0.07903,2.3198000000022034,10.901499999999231,1
1785,11.459047619047618,67,,1,-42.81846410824423,0.003237655062603202,0.0003979239564431674,0.016963608953509995,8.4,67:0.92165 66:0.80155 64:0.32800 50:0.27269 45:0.24170 65:0.20250,66:0.52696 64:0.33455 67:0.28920 65:0.27068 69:0.12928 76:0.08143,2.02679999999944,13.67710000000244,0
1786,11.464852607709751,66 67,note_on:66,1,-42.65255110671077,0.003237655062603202,0.00013941109402084827,0.011559804879070983,5.490382737241405,67:0.91311 66:0.81541 64:0.32200 50:0.31103 45:0.24320 65:0.19697,66:0.53071 64:0.32937 67:0.29239 65:0.25029 69:0.12479 55:0.07865,3.0219999999978597,4.688599999997933,2
1787,11.470657596371883,66 67,,1,-43.48147374311247,0.003237655062603202,0.0,0.017438430908832174,4.5,67:0.91765 66:0.80685 50:0.30949 64:0.30637 45:0.24115 57:0.20390,66:0.52622 64:0.31263 67:0.29322 65:0.21513 69:0.13527 55:0.08965,3.0668000000027007,9.09979999999777,1
1788,11.476462585034014,66 67,,1,-43.461587174220654,0.003237655062603202,1.53521471342637e-05,0.010957718066558599,4.5,67:0.91182 66:0.82367 64:0.34585 50:0.32199 45:0.26475 57:0.22707,66:0.52329 64:0.33461 67:0.28579 65:0.23741 69:0.14085 55:0.08980,2.1184999999981358,12.152500000002675,0
1789,11.482267573696145,66 67,,1,-43.402275432730306,0.003237655062603202,4.599712076645661e-05,0.017798994330845416,4.5,67:0.90706 66:0.81964 50:0.34878 64:0.30967 45:0.26576 57:0.22628,66:0.53863 64:0.30879 67:0.30583 65:0.21818 69:0.15772 55:0.10518,3.7346000000013646,5.213200000000029,2
1790,11.488072562358276,66 67,,1,-44.324582706084364,0.003237655062603202,0.0,0.02039571217190652,4.229704141603049,67:0.91751 66:0.80874 50:0.33482 64:0.30324 45:0.26025 57:0.25754,66:0.51746 67:0.30163 64:0.28923 65:0.18167 69:0.15849 55:0.10638,3.873699999999758,10.466599999997328,1
1791,11.493877551020407,66 67,,1,-44.01426985621758,0.003237655062603202,0.000221073778936977,0.013797113214948697,7.60356526530592,67:0.91746 66:0.81102 64:0.33966 50:0.32953 45:0.28843 57:0.27635,66:0.54058 64:0.32048 67:0.31494 65:0.20757 69:0.17219 55:0.11581,2.582499999999044,13.970199999999267,0
1792,11.49968253968254,66 67,,1,-44.32746569082897,0.003237655062603202,0.0,0.021574013297992283,4.226700528605448,67:0.91807 66:0.80890 50:0.34143 64:0.32480 45:0.28431 57:0.27831,66:0.54754 67:0.32762 64:0.31482 65:0.20012 69:0.17917 55:0.13289,4.192800000001995,6.036499999996892,2
1793,11.505487528344672,66 67,,1,-43.92575951090202,0.003237655062603202,0.0002876088727050844,0.024334525722585352,8.4,67:0.91892 66:0.81255 64:0.34927 50:0.31342 69:0.30478 45:0.30157,66:0.56156 67:0.34115 64:0.32418 65:0.22640 69:0.21516 55:0.11615,5.311999999999983,13.333700000000448,1
1794,11.511292517006803,66 67,,1,-43.34178595485443,0.003237655062603202,0.0004425598697044876,0.024056581415472858,8.4,67:0.91749 66:0.81867 64:0.37220 50:0.34705 45:0.32458 57:0.32035,66:0.55315 67:0.34359 64:0.33322 65:0.21666 69:0.19473 55:0.13569,4.742900000000105,20.47890000000052,3
1795,11.517097505668934,66 67,,1,-43.30819584607085,0.003237655062603202,2.6372289161991427e-05,0.01514698780174773,4.5,67:0.91789 66:0.81209 50:0.37386 64:0.34960 57:0.34584 45:0.33526,66:0.55417 67:0.35947 64:0.32509 69:0.22073 65:0.19670 55:0.14854,3.721699999999828,15.083300000000577,2
1796,11.522902494331065,66 67,,1,-44.16585018422783,0.003237655062603202,0.0,0.02748902574181562,4.975853571338584,67:0.91928 66:0.81611 64:0.39827 45:0.37999 57:0.37696 50:0.37235,66:0.52802 67:0.33777 64:0.33443 69:0.22266 65:0.19557 55:0.13893,3.759800000000979,20.56880000000305,1
1797,11.528707482993198,66 67,,1,-44.166116135766096,0.003237655062603202,0.0,0.017103894063653556,4.39634406191633,67:0.91274 66:0.83364 64:0.41359 45:0.39371 57:0.39100 50:0.38803,66:0.55194 67:0.35823 64:0.34801 69:0.23370 65:0.20035 45:0.15635,3.194499999999323,25.037399999998655,3
1798,11.53451247165533,66 67,,1,-43.73297521770171,0.003237655062603202,0.00031650649020067024,0.015054842451553235,8.4,67:0.91819 66:0.82446 64:0.39864 57:0.39660 50:0.39656 45:0.38970,66:0.55999 67:0.38388 64:0.35301 69:0.26757 65:0.19757 55:0.16074,3.9666999999994346,12.37830000000173,2
1799,11.54031746031746,66 67,,1,-44.16923785104107,0.003237655062603202,0.0,0.016062022111057075,4.393031894497888,67:0.90279 66:0.84691 57:0.43421 45:0.42105 64:0.41950 50:0.38798,66:0.56463 64:0.37255 67:0.36305 69:0.26514 65:0.19116 57:0.17916,2.6238000000020634,16.216199999998793,1
1800,11.546122448979592,66 67,,1,-44.38510509056671,0.003237655062603202,0.0,0.014804673355115103,4.166858154430159,67:0.89396 66:0.85480 57:0.44336 50:0.41431 45:0.41356 64:0.40468,66:0.56889 64:0.37204 67:0.36674 69:0.26232 57:0.19106 45:0.18168,2.6623000000007835,19.95289999999983,0
1801,11.551927437641723,66 67,,1,-44.03593462617849,0.003237655062603202,0.00024758620502853945,0.016735790704477654,8.289626416134261,67:0.89266 66:0.85920 57:0.43745 50:0.40590 45:0.39842 64:0.39698,66:0.54803 64:0.35127 67:0.34926 69:0.26016 57:0.17883 65:0.16220,3.7389999999994927,5.16709999999776,2
1802,11.557732426303854,66 67,,1,-43.47823398876351,0.003237655062603202,0.000416684376830582,0.017281681399843183,8.4,67:0.87707 66:0.87251 57:0.43231 50:0.42082 45:0.39995 64:0.39894,66:0.56741 64:0.36616 67:0.35993 69:0.26861 57:0.18992 45:0.17441,4.3493999999988375,10.724899999999593,1
