frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
178,1.039092970521542,1,2048,0,1.0,-61.07264758171242,0.018748249858617783,59,0,-1,,0,0,6.608100000001116,9.223599999998555,26.062899999999445,2
179,1.0448979591836736,1,2048,0,1.0,-65.64766605434372,0.018579140305519104,59,0,-1,,0,0,7.362900000000394,9.354999999999336,42.138200000000126,3
180,1.050702947845805,1,2048,0,1.0,-66.48979452861806,0.017305923625826836,59,0,-1,,0,0,9.798799999998664,15.020199999998596,32.18120000000013,3
181,1.0565079365079366,1,4096,0,1.0,-67.3712073880036,0.0014229295775294304,66,0,-1,,0,0,7.2536999999996965,14.929800000000881,49.515299999999485,6
182,1.062312925170068,1,4096,0,1.0,-68.29446468526865,0.00200512632727623,66,0,-1,,0,0,7.762599999999509,9.340400000002802,49.50670000000201,6
183,1.0681179138321995,1,4096,0,1.0,-66.32361253787477,0.001882178708910942,53,0,-1,,0,0,7.389899999999727,9.0564999999998,29.64460000000102,7
184,1.073922902494331,1,4096,0,1.0,-66.6138487924473,0.0019124411046504974,59,0,-1,,0,0,8.040799999999848,13.530299999999329,53.1550999999979,6
185,1.0797278911564625,1,4096,0,1.0,-67.66947044634202,0.0022733728401362896,59,0,-1,,0,0,7.2814000000001045,9.408000000000527,53.182300000003124,6
186,1.0855328798185941,1,4096,0,1.0,-64.7299681192165,0.0023970697075128555,59,0,-1,,0,0,9.685799999999745,10.92519999999908,48.06070000000062,6
187,1.0913378684807256,1,4096,0,1.0,-64.27373749980465,0.0024620138574391603,59,0,-1,,0,0,7.267000000002355,9.67099999999732,61.70540000000102,7
188,1.0971428571428572,1,4096,0,1.0,-64.98612020550608,0.002516580279916525,59,0,-1,,0,0,9.56120000000027,10.892800000000591,68.52489999999989,8
189,1.1029478458049886,1,4096,0,1.0,-63.85315373501032,0.0023960606195032597,59,0,-1,,0,0,4.6165000000009115,7.447199999997878,58.962700000002144,8
190,1.1087528344671203,1,4096,0,1.0,-64.20355003110073,0.0024615314323455095,59,0,-1,,0,0,7.7411000000005,10.0910999999968,72.63640000000038,10
191,1.1145578231292517,1,4096,0,1.0,-64.71862090719107,0.0025193120818585157,59,0,-1,,0,0,7.790699999997486,10.989500000000874,75.23379999999946,10
192,1.1203628117913833,1,4096,0,1.0,-65.19950437094724,0.002543027512729168,59,0,-1,,0,0,8.462500000000261,17.53789999999711,74.55210000000179,10
193,1.1261678004535147,1,4096,0,1.0,-65.34065996771061,0.0026264204643666744,59,0,-1,,0,0,6.68980000000019,9.163599999997274,73.98689999999775,10
194,1.1319727891156464,1,4096,0,1.0,-64.63541349934614,0.0026167130563408136,59,0,-1,,0,0,8.500800000000197,10.482199999998443,77.6709000000011,11
195,1.1377777777777778,1,4096,0,1.0,-65.19987056497973,0.002631785813719034,59,0,-1,,0,0,7.0104999999998086,9.32579999999561,81.76390000000211,13
196,1.1435827664399092,1,4096,0,1.0,-61.571587061498875,0.0026221044827252626,59,0,-1,,0,0,8.04210000000083,9.292600000001983,81.78039999999953,13
197,1.1493877551020408,1,4096,0,1.0,-57.274732266243305,0.0029693637043237686,59,0,-1,,0,0,7.562200000002406,11.271600000000603,106.6535999999978,13
198,1.1551927437641722,1,4096,0,1.0,-53.931548568009106,0.004110528156161308,59,0,-1,,0,0,12.06759999999818,13.68190000000169,89.06209999999959,13
